,t
1405,3.62
1406,3.64
1407,3.68
1408,3.73
1409,3.78
1410,3.8
1411,3.82
1412,3.83
1413,3.85
1414,3.85
1415,3.87
1416,3.99
1417,3.97
1418,3.95
1419,3.94
1420,3.9
1421,3.88
1422,3.83
1423,3.78
1424,3.74
1425,3.71
1426,3.4
1427,0.93
1428,0.93
1429,2.62
1430,3.75
1431,3.77
1432,3.78
1433,3.81
1434,3.83
1435,3.82
1436,3.86
1437,3.87
1438,3.87
1439,3.87
1440,3.85
1441,3.83
1442,3.79
1443,3.77
1444,3.76
1445,3.75
1446,3.75
1447,3.75
1448,3.76
1449,3.77
1450,3.65
1451,3.79
1452,3.68
1453,3.82
1454,3.84
1455,3.89
1456,3.94
1457,3.99
1458,4.04
1459,4.06
1460,4.08
1461,4.07
1462,4.06
1463,4.05
1464,4.02
1465,3.99
1466,3.97
1467,3.95
1468,3.95
1469,3.95
1470,3.95
1471,3.95
1472,3.95
1473,3.96
1474,3.97
1475,3.97
1476,3.98
1477,4.0
1478,4.02
1479,4.04
1480,4.07
1481,4.12
1482,4.17
1483,4.21
1484,4.24
1485,4.24
1486,4.22
1487,4.17
1488,3.82
1489,4.06
1490,4.04
1491,4.04
1492,4.05
1493,4.06
1494,4.07
1495,4.08
1496,4.09
1497,4.1
1498,3.76
1499,4.12
1500,4.15
1501,4.18
1502,4.06
1503,4.23
1504,4.25
1505,4.26
1506,4.29
1507,4.31
1508,4.33
1509,4.37
1510,4.4
1511,4.41
1512,4.4
1513,4.37
1514,4.34
1515,4.31
1516,4.28
1517,4.27
1518,4.27
1519,4.27
1520,4.2
1521,4.28
1522,4.3
1523,4.31
1524,4.33
1525,4.37
1526,4.41
1527,4.45
1528,4.46
1529,4.47
1530,4.51
1531,4.53
1532,4.55
1533,4.56
1534,4.58
1535,4.56
1536,4.54
1537,4.51
1538,4.48
1539,4.46
1540,4.46
1541,4.45
1542,4.45
1543,4.44
1544,4.43
1545,4.42
1546,4.19
1547,4.41
1548,4.41
1549,4.43
1550,4.45
1551,4.48
1552,4.55
1553,4.59
1554,4.64
1555,4.69
1556,4.73
1557,4.77
1558,4.77
1559,4.74
1560,4.71
1561,4.67
1562,4.65
1563,4.72
1564,4.82
1565,4.82
1566,4.82
1567,4.83
1568,4.83
1569,4.85
1570,4.86
1571,4.85
1572,4.86
1573,4.87
1574,4.89
1575,4.84
1576,4.69
1577,4.35
1578,4.75
1579,4.93
1580,4.8
1581,5.0
1582,5.01
1583,4.98
1584,4.94
1585,4.9
1586,4.88
1587,4.88
1588,4.88
1589,4.87
1590,4.86
1591,4.85
1592,4.86
1593,4.9
1594,4.85
1595,4.88
1596,4.99
1597,4.87
1598,4.72
1599,5.01
1600,5.12
1601,5.13
1602,5.15
1603,5.16
1604,5.18
1605,5.18
1606,5.17
1607,5.15
1608,5.11
1609,5.09
1610,5.06
1611,5.03
1612,5.0
1613,4.98
1614,4.96
1615,4.95
1616,4.97
1617,5.03
1618,5.11
1619,5.16
1620,5.21
1621,5.26
1622,5.31
1623,5.38
1624,5.47
1625,5.55
1626,5.58
1627,5.59
1628,5.56
1629,5.49
1630,5.45
1631,5.41
1632,5.36
1633,5.3
1634,5.26
1635,5.23
1636,5.19
1637,5.16
1638,5.12
1639,5.09
1640,5.07
1641,5.06
1642,5.07
1643,5.08
1644,5.09
1645,5.11
1646,5.16
1647,5.21
1648,5.26
1649,5.29
1650,5.31
1651,5.33
1652,5.32
1653,5.3
1654,5.28
1655,5.25
1656,5.2
1657,5.17
1658,5.14
1659,5.12
1660,5.1
1661,5.09
1662,5.08
1663,5.07
1664,5.08
1665,5.09
1666,5.1
1667,5.13
1668,5.14
1669,5.18
1670,5.25
1671,5.31
1672,5.26
1673,5.3
1674,5.41
1675,5.45
1676,5.47
1677,5.47
1678,5.44
1679,5.39
1680,5.35
1681,5.33
1682,5.31
1683,5.29
1684,5.28
1685,5.27
1686,5.26
1687,5.25
1688,5.25
1689,5.26
1690,5.26
1691,5.25
1692,5.27
1693,5.29
1694,5.23
1695,5.36
1696,5.39
1697,5.44
1698,5.48
1699,5.51
1700,5.53
1701,5.54
1702,5.55
1703,5.57
1704,5.58
1705,5.58
1706,5.57
1707,5.66
1708,5.63
1709,5.6
1710,5.59
1711,5.58
1712,5.56
1713,5.56
1714,5.56
1715,5.59
1716,5.61
1717,5.62
1718,5.64
1719,5.65
1720,5.65
1721,5.65
1722,4.89
1723,5.56
1724,5.58
1725,5.67
1726,5.64
1727,5.62
1728,5.58
1729,5.56
1730,5.54
1731,5.52
1732,5.5
1733,5.51
1734,5.5
1735,5.51
1736,5.54
1737,5.59
1738,5.63
1739,5.7
1740,5.75
1741,5.77
1742,5.82
1743,5.77
1744,5.83
1745,5.96
1746,5.97
1747,5.86
1748,5.95
1749,5.92
1750,5.87
1751,5.82
1752,5.76
1753,5.72
1754,5.68
1755,5.66
1756,5.63
1757,5.62
1758,5.62
1759,5.66
1760,5.67
1761,5.67
1762,5.66
1763,5.67
1764,5.6
1765,5.64
1766,5.77
1767,5.63
1768,5.87
1769,5.9
1770,5.94
1771,5.96
1772,5.58
1773,6.0
1774,6.01
1775,5.99
1776,5.97
1777,5.96
1778,5.95
1779,5.97
1780,5.97
1781,5.99
1782,6.0
1783,6.0
1784,6.01
1785,6.01
1786,6.02
1787,6.02
1788,5.82
1789,6.03
1790,6.06
1791,6.1
1792,6.16
1793,6.21
1794,6.26
1795,6.29
1796,6.31
1797,6.31
1798,6.31
1799,6.08
1800,6.27
1801,6.25
1802,6.23
1803,6.22
1804,6.22
1805,6.22
1806,6.21
1807,6.22
1808,6.22
1809,6.23
1810,6.23
1811,6.23
1812,6.23
1813,6.25
1814,6.27
1815,6.31
1816,6.36
1817,6.42
1818,6.47
1819,6.51
1820,6.53
1821,6.53
1822,6.52
1823,6.51
1824,6.5
1825,6.49
1826,6.5
1827,6.5
1828,6.51
1829,6.53
1830,6.54
1831,6.54
1832,6.57
1833,6.64
1834,6.71
1835,6.79
1836,6.88
1837,6.96
1838,7.02
1839,7.06
1840,7.12
1841,7.16
1842,7.17
1843,7.14
1844,7.13
1845,7.13
1846,7.15
1847,7.16
1848,7.16
1849,7.16
1850,7.18
1851,7.18
1852,7.19
1853,7.21
1854,7.21
1855,7.21
1856,7.19
1857,7.21
1858,7.25
1859,7.29
1860,7.33
1861,7.34
1862,7.39
1863,7.39
1864,7.4
1865,7.42
1866,7.46
1867,7.46
1868,7.46
1869,7.45
1870,7.45
1871,7.44
1872,7.46
1873,7.46
1874,7.45
1875,7.43
1876,7.41
1877,7.41
1878,7.39
1879,7.38
1880,7.38
1881,7.37
1882,7.36
1883,7.36
1884,7.38
1885,7.38
1886,7.41
1887,7.41
1888,7.39
1889,7.11
1890,7.33
1891,7.32
1892,7.32
1893,7.35
1894,7.44
1895,7.44
1896,7.41
1897,7.38
1898,7.35
1899,7.34
1900,7.33
1901,7.35
1902,7.39
1903,7.42
1904,7.45
1905,7.45
1906,7.44
1907,7.43
1908,7.49
1909,7.52
1910,7.55
1911,7.59
1912,7.64
1913,7.69
1914,7.71
1915,7.73
1916,7.72
1917,7.69
1918,7.65
1919,7.62
1920,7.58
1921,7.54
1922,7.51
1923,7.49
1924,7.47
1925,7.46
1926,7.46
1927,7.45
1928,7.45
1929,7.46
1930,7.47
1931,7.48
1932,7.5
1933,7.52
1934,7.53
1935,7.55
1936,7.57
1937,7.58
1938,7.6
1939,7.62
1940,7.63
1941,7.65
1942,7.67
1943,7.68
1944,7.71
1945,7.72
1946,7.7
1947,7.67
1948,7.64
1949,7.6
1950,7.57
1951,7.55
1952,7.52
1953,7.49
1954,7.48
1955,7.48
1956,7.52
1957,7.6
1958,7.69
1959,7.78
1960,7.84
1961,7.85
1962,7.86
1963,7.85
1964,7.83
1965,7.8
1966,7.77
1967,7.73
1968,7.7
1969,7.67
1970,7.63
1971,7.6
1972,7.58
1973,7.57
1974,7.55
1975,7.54
1976,7.52
1977,7.5
1978,7.49
1979,7.49
1980,7.49
1981,7.51
1982,7.55
1983,7.61
1984,7.7
1985,7.78
1986,7.84
1987,7.86
1988,7.85
1989,7.82
1990,7.78
1991,7.74
1992,7.72
1993,7.71
1994,7.7
1995,7.69
1996,7.69
1997,7.68
1998,7.67
1999,7.65
2000,7.64
2001,7.63
2002,7.63
2003,7.64
2004,7.65
2005,7.69
2006,7.71
2007,7.73
2008,7.75
2009,7.78
2010,7.79
2011,7.8
2012,7.82
2013,7.84
2014,7.83
2015,7.81
2016,7.76
2017,7.72
2018,7.68
2019,7.66
2020,7.65
2021,7.64
2022,7.64
2023,7.63
2024,3.3
2025,3.3
2026,3.3
2027,3.3
2028,4.96
2029,7.66
2030,7.69
2031,7.72
2032,7.78
2033,7.84
2034,7.86
2035,7.89
2036,7.9
2037,7.89
2038,7.84
2039,7.78
2040,7.73
2041,7.69
2042,7.66
2043,7.63
2044,7.62
2045,7.59
2046,7.58
2047,7.57
2048,7.57
2049,7.56
2050,7.57
2051,7.58
2052,7.59
2053,7.61
2054,7.64
2055,7.67
2056,7.71
2057,7.75
